,mag_time,magX,magY,magZ
0,0.18787815,-16.02,44.099998,-5.5799999
1,0.19787815,-15.78,44.459999,-5.8799996
2,0.20787915,-15.42,44.639999,-5.8799996
3,0.21787915,-15.96,44.939999,-6.1799998
4,0.22787915,-16.08,44.939999,-6.2999997
5,0.23787915,-16.5,44.639999,-5.9400001
6,0.24787935,-16.5,43.860001,-5.6999998
7,0.25787952,-16.26,43.98,-5.6399999
8,0.26787952,-16.32,43.739998,-5.52
9,0.27787964,-16.02,43.379997,-5.46
10,0.28787976,-15.78,44.040001,-5.5799999
11,0.29787976,-16.26,43.799999,-5.4000001
12,0.30787976,-15.9,44.040001,-5.2199998
13,0.31787976,-16.26,44.16,-5.8199997
14,0.32787783,-16.74,43.739998,-5.6999998
15,0.3378779,-16.5,43.860001,-5.6999998
16,0.3478779,-16.92,43.799999,-6.0599999
17,0.35787796,-16.619999,43.860001,-5.46
18,0.36787649,-16.92,44.279999,-5.46
19,0.37787649,-17.1,44.459999,-5.5799999
20,0.38787649,-16.98,44.82,-5.1599998
21,0.39787649,-17.279999,44.879997,-5.0999999
22,0.40787654,-17.16,44.579998,-5.0999999
23,0.41787654,-16.859999,44.34,-5.04
24,0.42787654,-17.699999,44.040001,-5.52
25,0.43787658,-17.52,44.040001,-5.46
26,0.44787662,-18.059999,44.040001,-6.0
27,0.45787662,-18.299999,43.919998,-5.3399997
28,0.46787662,-17.459999,44.099998,-5.04
29,0.47787662,-17.76,43.98,-5.3399997
30,0.48787666,-16.799999,43.860001,-4.7399998
31,0.49787666,-16.98,44.099998,-5.4000001
32,0.50787662,-16.859999,43.98,-5.5799999
33,0.51787666,-16.74,43.919998,-5.1599998
34,0.52787706,-16.74,44.040001,-5.5799999
35,0.53787706,-16.5,44.040001,-4.9200001
36,0.54787702,-16.559999,43.98,-4.6199999
37,0.55787702,-16.379999,44.16,-4.8599997
38,0.56787619,-17.699999,44.16,-4.7999997
39,0.57787615,-18.42,43.739998,-5.2799997
40,0.58787612,-18.779999,43.559998,-4.7999997
41,0.59787612,-19.5,43.439999,-5.1599998
42,0.60787615,-18.6,43.259998,-4.9200001
43,0.61787619,-18.84,43.32,-4.3800001
44,0.62787702,-18.539999,43.739998,-4.9200001
45,0.63787702,-18.42,43.259998,-4.4400001
46,0.64787705,-18.18,43.5,-4.5599999
47,0.65787702,-17.279999,43.559998,-5.04
48,0.66787785,-16.859999,43.919998,-5.3399997
49,0.67787785,-16.859999,44.279999,-5.2199998
50,0.68787788,-17.940001,44.700001,-4.9200001
51,0.69787792,-18.84,44.759998,-4.9200001
52,0.70787788,-19.559999,44.579998,-4.4400001
53,0.71787792,-19.98,44.34,-4.3800001
54,0.72787708,-19.439999,43.619999,-4.4400001
55,0.73787705,-19.199999,43.98,-4.3199997
56,0.74787701,-19.02,43.799999,-4.9200001
57,0.75787701,-18.0,44.040001,-5.04
58,0.76787618,-17.52,44.52,-5.5799999
59,0.77787618,-16.859999,43.98,-5.46
60,0.78787614,-16.199999,44.16,-5.46
61,0.79787618,-16.68,44.040001,-5.1599998
62,0.80787618,-17.52,43.860001,-4.5
63,0.81787614,-17.940001,44.099998,-4.2599998
64,0.83053681,-18.42,44.279999,-3.8399999
65,0.84053681,-18.18,44.399998,-3.8399999
66,0.85053684,-18.18,44.219997,-3.8999999
67,0.86053681,-19.32,43.919998,-4.7999997
68,0.87053764,-20.219999,43.619999,-4.5
69,0.88053767,-20.039999,43.559998,-4.4400001
70,0.89053767,-19.379999,43.619999,-4.6799998
71,0.90053767,-17.82,44.040001,-4.0799999
72,0.91053764,-17.039999,43.98,-4.7399998
73,0.92053764,-17.52,44.099998,-5.2799997
74,0.9305368,-17.58,44.279999,-4.9200001
75,0.94053677,-17.58,44.099998,-4.6799998
76,0.95053674,-16.859999,44.279999,-4.5599999
77,0.96053674,-17.039999,43.799999,-4.8599997
78,0.9705359,-16.98,43.799999,-4.6799998
79,0.98053594,-18.119999,43.739998,-5.4000001
80,0.9905359,-19.02,43.439999,-5.7599998
81,1.0005359,-18.6,44.099998,-5.04
82,1.0105359,-19.02,44.040001,-5.52
83,1.0205359,-18.9,44.16,-5.1599998
84,1.0305367,-18.539999,44.040001,-4.5
85,1.0405367,-18.299999,43.799999,-5.2799997
86,1.0505368,-18.18,43.68,-4.3800001
87,1.0605368,-17.16,43.739998,-4.2599998
88,1.0705376,-17.16,44.040001,-4.4400001
89,1.0805376,-16.559999,44.16,-3.72
90,1.0905377,-15.839999,44.16,-4.1999998
91,1.1005376,-15.78,44.16,-4.5
92,1.1105376,-16.139999,44.099998,-4.7399998
93,1.1205376,-16.559999,44.040001,-4.3199997
94,1.1305377,-17.639999,44.279999,-3.5999999
95,1.1405377,-18.18,44.279999,-3.24
96,1.1505376,-17.82,44.52,-2.9399998
97,1.1605377,-17.879999,44.579998,-3.5999999
98,1.1705368,-17.34,44.34,-4.3800001
99,1.1805368,-17.279999,44.219997,-4.2599998
100,1.1905368,-17.16,43.919998,-3.78
101,1.2005368,-16.74,44.16,-3.72
102,1.2105368,-16.74,44.040001,-4.0799999
103,1.2205368,-16.859999,44.219997,-4.6799998
104,1.2305376,-18.0,44.579998,-4.8599997
105,1.2405376,-18.6,44.34,-5.1599998
106,1.2505376,-18.48,44.219997,-5.1599998
107,1.2605376,-18.119999,44.459999,-5.04
108,1.2705385,-18.119999,44.34,-5.1599998
