,gyr_time,gyrX,gyrY,gyrZ
0,0.015342776,-0.12163854,-0.0093156947,0.072005741
1,0.017342776,-0.12163854,-0.0093156947,0.072005741
2,0.019342776,-0.12163854,-0.0093156947,0.072005741
3,0.021342776,-0.12163854,-0.0093156947,0.072005741
4,0.023347776,-0.11430816,0.04932737,-0.0092393365
5,0.025347776,-0.11491902,0.065820731,-0.011682798
6,0.027347776,-0.11736248,0.071318515,-0.018402316
7,0.029347776,-0.11919508,0.078038037,-0.020845776
8,0.031347776,-0.11980595,0.07620544,-0.024510968
9,0.033347776,-0.12286028,0.071318515,-0.025121834
10,0.035347776,-0.12408201,0.069485925,-0.027565295
11,0.037347776,-0.12408201,0.062155537,-0.031841353
12,0.039345321,-0.12652546,0.063988134,-0.02939789
13,0.041343154,-0.1259146,0.060322944,-0.03306308
14,0.04334323,-0.12896892,0.055436023,-0.026954429
15,0.045343301,-0.13019066,0.056046885,-0.025121834
16,0.047343367,-0.12347114,0.063988134,-0.028787024
17,0.049342742,-0.12408201,0.069485925,-0.030008756
18,0.0513428,-0.12102768,0.073151112,-0.032452215
19,0.053342855,-0.11614075,0.08353582,-0.039171733
20,0.055342907,-0.11064297,0.096363991,-0.040393464
21,0.057342907,-0.11125384,0.10613783,-0.040393464
22,0.059342907,-0.11247557,0.10797043,-0.039171733
23,0.061342907,-0.11430816,0.10797043,-0.034895677
24,0.063342907,-0.11736248,0.1049161,-0.033673946
25,0.065342907,-0.11980595,0.10369437,-0.030619621
26,0.067342907,-0.12713633,0.10552697,-0.028787024
27,0.069342907,-0.12774719,0.1049161,-0.024510968
28,0.071342907,-0.12835807,0.10308351,-0.019624045
29,0.073342907,-0.12469286,0.1085813,-0.019624045
30,0.075342907,-0.12530373,0.11102476,-0.019624045
31,0.077342907,-0.12041681,0.11407909,-0.012293663
32,0.07934204,-0.11308643,0.11957687,-0.0080176061
33,0.081341173,-0.11430816,0.12018774,-0.0067958757
34,0.083339806,-0.11247557,0.12812899,-0.0012980887
35,0.085338939,-0.10758864,0.12996158,-7.6358156e-05
36,0.087338939,-0.10453431,0.13790283,0.0035888334
37,0.089338972,-0.10514518,0.13973543,0.0078648897
38,0.091339005,-0.10209085,0.14278975,0.0096974857
39,0.093339038,-0.10086913,0.14462234,0.0084757553
40,0.095339071,-0.10086913,0.14584407,0.010308351
41,0.097339104,-0.099647395,0.14401148,0.0084757553
42,0.099340037,-0.10086913,0.14156802,0.0084757553
43,0.10134094,-0.10331258,0.13729197,0.0084757553
44,0.10334094,-0.10331258,0.13362677,0.0096974857
45,0.1053409,-0.10575604,0.13118331,0.013362677
46,0.10734087,-0.10514518,0.12996158,0.0084757553
47,0.1093412,-0.10209085,0.13179417,0.0011453723
48,0.11134117,-0.099647395,0.13362677,-0.004352415
49,0.11334113,-0.094149604,0.1470658,-0.015347989
50,0.1153411,-0.083764896,0.16661349,-0.027565295
51,0.1173411,-0.070936725,0.18799378,-0.037950002
52,0.11934023,-0.067271538,0.19898935,-0.045891251
53,0.1213394,-0.060552016,0.21303925,-0.048945576
54,0.12333857,-0.048334714,0.23625213,-0.055665094
55,0.12533773,-0.039171733,0.25885415,-0.067271538
56,0.12733776,-0.03306308,0.27779096,-0.077045381
57,0.1293378,-0.027565295,0.2863431,-0.081321433
58,0.13133783,-0.025121834,0.30344731,-0.089873552
59,0.13333786,-0.024510968,0.31322116,-0.092927873
60,0.13533786,-0.020845776,0.31627548,-0.098425664
61,0.13733786,-0.022678372,0.32543847,-0.10147999
62,0.13933853,-0.025732698,0.32421672,-0.10147999
63,0.1413394,-0.031230485,0.32666019,-0.10514518
64,0.14334026,-0.037950002,0.32421672,-0.10331258
65,0.14534113,-0.040393464,0.31994069,-0.099647395
66,0.14734113,-0.047723848,0.27473664,-0.086208358
67,0.14934109,-0.055054229,0.27046058,-0.08315403
68,0.15134106,-0.058719423,0.26557365,-0.081321433
69,0.15334103,-0.068493262,0.2576324,-0.073991053
70,0.15534099,-0.073380187,0.25152376,-0.072769322
71,0.15734096,-0.077045381,0.24541511,-0.069104128
72,0.15934006,-0.082543164,0.24541511,-0.067882404
73,0.16133916,-0.081932299,0.23808473,-0.064828075
