,gyr_time,gyrX,gyrY,gyrZ
0,0.02408931,0.65095329,-0.78625995,-0.032757647
1,0.02611631,0.65095329,-0.78625995,-0.032757647
2,0.02813031,0.65095329,-0.78625995,-0.032757647
3,0.03013731,0.65095329,-0.78625995,-0.032757647
4,0.03213731,0.64240116,-0.7392233,0.10102184
5,0.03413756,0.62651867,-0.76610136,0.10163271
6,0.03613776,0.60574925,-0.78931427,0.10285444
7,0.038137926,0.597808,-0.79847723,0.10163271
8,0.040138068,0.57764947,-0.8113054,0.10102184
9,0.042138193,0.55749089,-0.82230097,0.097967513
10,0.044138304,0.54466271,-0.82535529,0.096134916
11,0.046135804,0.5257259,-0.8308531,0.091858864
12,0.048133531,0.50251305,-0.84001607,0.08086329
13,0.050131364,0.48968485,-0.84307039,0.077198096
14,0.052129364,0.46586111,-0.85345513,0.06498079
15,0.054129364,0.44142649,-0.86139637,0.049098294
16,0.056129364,0.43165267,-0.86322898,0.043600507
17,0.058129364,0.41149411,-0.86689413,0.028328875
18,0.060129364,0.39255726,-0.86506152,0.014278975
19,0.062129364,0.38217255,-0.86689413,0.0093920529
20,0.064129364,0.3656792,-0.8662833,-0.0052687125
21,0.066129364,0.34674239,-0.86322898,-0.016875152
22,0.068129364,0.34124461,-0.86139637,-0.020540344
23,0.070129364,0.32475123,-0.85528773,-0.032757647
24,0.072129364,0.3113122,-0.84978992,-0.044974953
25,0.074129364,0.30581442,-0.8467356,-0.049251009
26,0.076129364,0.29542971,-0.84368128,-0.06207918
27,0.078129364,0.28565586,-0.84368128,-0.073685624
28,0.080129401,0.28076893,-0.84490299,-0.079183407
29,0.082129436,0.27282768,-0.84978992,-0.089568116
30,0.08412947,0.25816694,-0.8620072,-0.10300715
31,0.086128603,0.25511259,-0.86567241,-0.10606148
32,0.088127303,0.24167356,-0.87605715,-0.11522446
33,0.090126003,0.23251058,-0.89193964,-0.12622003
34,0.092125169,0.22762366,-0.89743739,-0.13049608
35,0.094125169,0.21662809,-0.91270906,-0.13965906
36,0.096125135,0.20868684,-0.92431545,-0.15004377
37,0.098125101,0.20441078,-0.92553723,-0.15615243
38,0.10012507,0.19585867,-0.93347847,-0.16775887
39,0.10212503,0.18975002,-0.94447404,-0.17936531
40,0.104125,0.18486309,-0.94508487,-0.18058704
41,0.1061262,0.18058704,-0.95424789,-0.18913916
42,0.10812703,0.17875445,-0.96218914,-0.19036089
43,0.1101279,0.17631099,-0.96463257,-0.19341521
44,0.1121288,0.17386752,-0.9695195,-0.20013472
45,0.11412883,0.17631099,-0.97684991,-0.20807597
46,0.11612886,0.17692184,-0.97990423,-0.20990857
47,0.1181289,0.17936531,-0.98723459,-0.21662809
48,0.12012893,0.18608482,-0.9908998,-0.2233476
49,0.12212896,0.18547396,-0.99212152,-0.2270128
50,0.124129,0.18791743,-1.0006737,-0.23739751
51,0.12612816,0.19158261,-1.0049497,-0.24289529
52,0.1281273,0.19646953,-1.0110583,-0.25450173
53,0.13012643,0.20257819,-1.0043389,-0.26916251
54,0.13212556,0.21113031,-0.98723459,-0.28199068
55,0.13412469,0.21968241,-0.95791304,-0.30398181
56,0.13612469,0.2270128,-0.94875008,-0.31864259
57,0.13812469,0.22945626,-0.95852393,-0.32658383
58,0.14012466,0.23006712,-0.9695195,-0.32658383
59,0.14212463,0.23251058,-0.99151063,-0.32230777
60,0.14412459,0.23373231,-1.0098366,-0.32108605
61,0.14612522,0.23434319,-1.0189996,-0.31803173
62,0.14812606,0.23617578,-1.0287734,-0.31803173
63,0.15012689,0.23800837,-1.0379364,-0.31864259
64,0.15212772,0.23617578,-1.0391581,-0.31864259
65,0.15412769,0.23861924,-1.0446559,-0.32108605
66,0.15612769,0.23800837,-1.0446559,-0.32047519
67,0.15812772,0.23800837,-1.0403799,-0.32047519
68,0.16012776,0.23984097,-1.030606,-0.32352951
69,0.16212779,0.23861924,-1.0177778,-0.32536209
70,0.16412782,0.2410627,-1.0067823,-0.32352951
71,0.16612662,0.24167356,-0.98418027,-0.32841644
72,0.16812696,0.24228443,-0.96096736,-0.32414037
73,0.17012699,0.24289529,-0.94508487,-0.32719469
74,0.17212655,0.24289529,-0.91942853,-0.32475123
75,0.17412652,0.24778222,-0.91270906,-0.3290273
76,0.17612649,0.24778222,-0.88705271,-0.32841644
77,0.17812645,0.25205827,-0.86567241,-0.33024901
78,0.18012642,0.25389087,-0.85467684,-0.32841644
79,0.18212638,0.25450173,-0.84062696,-0.32414037
80,0.18412678,0.25633433,-0.82596618,-0.32169691
81,0.18612762,0.25755605,-0.82107925,-0.31864259
82,0.18812848,0.25694519,-0.81191629,-0.31253394
83,0.19012938,0.25694519,-0.80092067,-0.30642527
84,0.19213028,0.25572348,-0.79847723,-0.30214924
85,0.19413118,0.25389087,-0.79114687,-0.29726231
86,0.19613082,0.24900395,-0.78564906,-0.28871018
87,0.19813085,0.24900395,-0.78015125,-0.28565586
88,0.20013088,0.24167356,-0.77465349,-0.27466029
89,0.20213092,0.23434319,-0.76304704,-0.2654973
90,0.20413095,0.23006712,-0.7569384,-0.26183212
91,0.20613031,0.22090414,-0.74899715,-0.25389087
92,0.20812975,0.2092977,-0.73677987,-0.24350616
93,0.21012901,0.20624338,-0.73189294,-0.24289529
94,0.21212901,0.19646953,-0.717843,-0.23617578
95,0.21412901,0.18425223,-0.704404,-0.22884539
96,0.21612901,0.18364136,-0.69768447,-0.2270128
97,0.21812898,0.17203492,-0.68607801,-0.22273675
