,mag_time,magX,magY,magZ
0,0.19729262,-8.9399996,28.26,20.34
1,0.20730462,-8.0999994,28.799999,20.52
2,0.21730362,-8.8199997,28.859999,20.58
3,0.22730362,-8.46,28.559999,20.58
4,0.23729495,-7.5599999,29.219999,19.92
5,0.2472947,-7.1999998,29.699999,19.74
6,0.2572945,-5.52,30.42,19.26
7,0.26729433,-5.0999999,30.84,19.559999
8,0.27729433,-4.4400001,31.199999,19.26
9,0.28729421,-3.5999999,31.619999,18.539999
10,0.29729409,-4.7399998,31.74,18.66
11,0.30729409,-4.1999998,32.279999,18.18
12,0.31729409,-4.6199999,33.119999,18.0
13,0.32729401,-4.5599999,33.059998,18.18
14,0.33729393,-2.7,33.84,18.0
15,0.34729386,-2.3399999,33.779999,18.059999
16,0.35729386,-1.6799999,33.540001,18.48
17,0.3672938,-1.62,33.899998,18.119999
18,0.37729374,-1.1999999,34.02,18.299999
19,0.38729374,-1.4399999,34.68,18.119999
20,0.39729232,-1.9799999,34.919998,17.82
21,0.40729227,-1.74,35.219997,18.24
22,0.41729222,-2.1599998,35.16,17.699999
23,0.42729222,-1.6799999,35.16,17.4
24,0.43729105,-0.71999997,35.639999,17.4
25,0.447291,-1.3199999,35.700001,17.4
26,0.45729096,-1.1999999,36.360001,17.699999
27,0.46729092,-1.0799999,36.719997,17.879999
28,0.47729092,-0.53999996,36.779999,17.58
29,0.48729092,0.17999999,37.380001,17.1
30,0.49729089,0.89999998,37.439999,16.559999
31,0.50729089,0.29999998,37.68,16.08
32,0.51729092,0.17999999,38.099998,15.719999
33,0.52729089,0.53999996,37.98,15.78
34,0.53729175,1.02,38.279999,15.179999
35,0.54729179,1.5,38.219997,15.059999
36,0.55729179,1.8,38.52,15.12
37,0.56729179,1.4399999,38.639999,14.28
38,0.57729175,1.02,38.52,14.46
39,0.58729179,1.5,38.939999,14.4
40,0.59729182,1.38,38.459999,13.799999
41,0.60729178,1.62,38.52,14.219999
42,0.61729138,1.4399999,38.399998,14.28
43,0.62729142,0.89999998,38.16,14.7
44,0.63729055,0.12,38.459999,15.059999
45,0.64729055,-0.17999999,38.399998,15.059999
46,0.65729052,-0.29999998,38.639999,15.12
47,0.66729055,0.0,38.939999,14.7
48,0.67729055,0.47999999,38.759998,14.52
49,0.68729052,0.77999997,39.059998,14.04
50,0.69729138,0.29999998,39.059998,13.98
51,0.70729138,-0.59999996,38.939999,13.2
52,0.71729142,-1.1999999,38.700001,12.42
53,0.72729138,-2.8799999,38.16,11.4
54,0.73729225,-3.3599999,38.099998,10.62
55,0.74729228,-3.72,38.219997,9.96
56,0.75729228,-3.3599999,38.879997,9.7799997
57,0.76729228,-1.26,39.419998,10.2
58,0.77729225,-0.41999999,39.719997,9.8999996
59,0.78729225,0.65999997,39.84,10.32
60,0.79729228,1.74,39.899998,9.96
61,0.80729225,1.92,39.66,9.3599997
62,0.81729221,2.6399999,39.899998,9.3599997
63,0.82729224,3.1799998,39.899998,9.0
64,0.83997631,3.54,40.02,8.8199997
65,0.84997627,3.6599998,40.439999,8.9399996
66,0.85997627,2.76,40.98,8.2200003
67,0.86997631,2.46,40.98,8.1599998
68,0.87997634,2.28,41.399998,8.46
69,0.8899763,2.0999999,41.82,8.3400002
70,0.8999763,3.3,41.879997,8.8199997
71,0.90997634,3.78,41.939999,8.6999998
72,0.9199767,3.1799998,41.700001,8.6399994
73,0.92997667,3.54,41.459999,8.9399996
74,0.93997754,3.78,41.099998,8.9399996
75,0.94997757,3.24,41.219997,9.0
76,0.9599776,3.8399999,41.459999,9.0
77,0.96997757,3.5999999,41.219997,9.1799994
78,0.97997757,3.1199999,41.639999,8.9399996
79,0.98997757,3.5999999,41.759998,9.2399998
80,0.9999776,3.48,41.52,9.2399998
81,1.0099776,3.48,42.119999,9.0
82,1.0199776,3.8999999,41.82,9.2399998
83,1.0299776,3.6599998,42.239998,8.8199997
