,gyr_time,gyrX,gyrY,gyrZ
0,0.021378579,0.00099265599,-0.023823744,-0.0064904434
1,0.023378579,0.00099265599,-0.023823744,-0.0064904434
2,0.025379579,0.00099265599,-0.023823744,-0.0064904434
3,0.027385579,0.00099265599,-0.023823744,-0.0064904434
4,0.029378245,-0.00022907447,-0.024434609,-0.0071013086
5,0.031378495,-0.0020616702,-0.025045475,-0.0064904434
6,0.033378695,-0.001450805,-0.025045475,-0.0052687125
7,0.035378861,-0.0026725354,-0.025656341,-0.0064904434
8,0.037379003,-0.003894266,-0.027488936,-0.0058795782
9,0.039379128,-0.0020616702,-0.026267206,-0.0058795782
10,0.041379128,-0.0045051314,-0.020769419,-0.0071013086
11,0.043377928,-0.0045051314,-0.021380283,-0.0064904434
12,0.045377928,-0.0045051314,-0.020158553,-0.0071013086
13,0.047377928,-0.0051159966,-0.018325957,-0.0071013086
14,0.049376466,-0.0057268618,-0.017715093,-0.0052687125
15,0.051376466,-0.0057268618,-0.019547688,-0.0071013086
16,0.053376466,-0.0069485921,-0.017715093,-0.0077121737
17,0.055376466,-0.0057268618,-0.014660766,-0.0052687125
18,0.057376524,-0.0057268618,-0.014660766,-0.0058795782
19,0.059376579,-0.0081703225,-0.016493361,-0.0083230389
20,0.061376631,-0.0075594573,-0.014660766,-0.0052687125
21,0.063376681,-0.0057268618,-0.015882496,-0.0046578473
22,0.065376728,-0.0081703225,-0.015882496,-0.0064904434
23,0.067376773,-0.0075594573,-0.013439035,-0.0058795782
24,0.069375686,-0.0069485921,-0.015882496,-0.0058795782
25,0.071374727,-0.006337727,-0.016493361,-0.0077121737
26,0.073374727,-0.0075594573,-0.014049901,-0.0058795782
27,0.075375419,-0.0075594573,-0.015882496,-0.0083230389
28,0.077375419,-0.0069485921,-0.018936822,-0.0040469822
29,0.07937499,-0.0093920529,-0.017104227,-0.003436117
30,0.08137499,-0.0075594573,-0.017104227,-0.0046578473
31,0.08337499,-0.0081703225,-0.017104227,-0.0040469822
32,0.085374956,-0.0075594573,-0.016493361,-0.0052687125
33,0.087374556,-0.0087811882,-0.018325957,-0.003436117
34,0.089375289,-0.010002919,-0.014049901,-0.0040469822
35,0.091375255,-0.0081703225,-0.015271631,-0.0028252518
36,0.093375221,-0.0087811882,-0.015271631,-0.003436117
37,0.095375187,-0.0081703225,-0.010995574,-0.0028252518
38,0.097375153,-0.0081703225,-0.010995574,-0.0022143866
39,0.099375119,-0.0075594573,-0.0061086523,-0.003436117
40,0.10137512,-0.0045051314,-0.0073303832,-0.0022143866
41,0.10337522,-0.0057268618,-0.0067195175,-0.0016035213
42,0.10537525,-0.0051159966,-0.0042760568,-0.0022143866
43,0.10737528,-0.0051159966,-0.0054977871,-0.00038179077
44,0.10937509,-0.003894266,-0.0030543262,-0.00099265599
45,0.11137425,-0.0026725354,-0.0030543262,-0.00038179077
46,0.11337342,-0.003894266,-0.0036651916,-0.00038179077
47,0.11537258,-0.001450805,-0.0030543262,-0.00038179077
48,0.11737258,0.00038179077,-0.0018325958,-0.00038179077
49,0.11937255,-0.001450805,-0.0012217305,0.0020616702
50,0.12137252,-0.00022907447,0.0,-0.00099265599
51,0.12337248,-0.00083993969,-0.0012217305,0.0026725354
52,0.12537245,0.00099265599,-0.002443461,0.0020616702
53,0.12737241,0.00099265599,-0.002443461,0.00083993969
54,0.12937325,0.00038179077,-0.00061086525,0.0032834008
55,0.13137401,0.0016035213,-0.0018325958,0.0020616702
56,0.13337401,0.00038179077,-0.0012217305,0.00083993969
57,0.13537344,0.00099265599,0.002443461,0.0020616702
58,0.13737348,-0.00022907447,0.002443461,0.0020616702
59,0.13937351,0.00099265599,0.004886922,0.0032834008
60,0.14137354,-0.00022907447,0.0067195175,0.003894266
61,0.14337358,0.0016035213,0.004886922,0.00083993969
62,0.14537361,-0.00083993969,0.0042760568,0.0045051314
63,0.14737364,-0.00083993969,0.004886922,0.0020616702
64,0.14937288,0.00038179077,0.0018325958,0.0026725354
65,0.15137201,-0.001450805,0.0030543262,0.001450805
66,0.15337114,-0.0020616702,0.0012217305,-0.00038179077
67,0.15537028,-0.0020616702,-0.0012217305,0.00083993969
68,0.15737028,-0.001450805,-0.0012217305,-0.0016035213
69,0.15937028,-0.0020616702,-0.0067195175,-0.00099265599
70,0.16137028,-0.0020616702,-0.0079412479,-0.00099265599
71,0.16337058,-0.0032834008,-0.01038471,0.00022907447
72,0.16537054,-0.0032834008,-0.015882496,-0.00099265599
73,0.16737051,0.00099265599,-0.016493361,-0.0016035213
74,0.16937134,-0.001450805,-0.018325957,-0.0016035213
75,0.17137267,-0.00022907447,-0.020158553,-0.0040469822
76,0.17337351,-0.0020616702,-0.021991149,-0.003436117
77,0.17537434,-0.001450805,-0.023823744,-0.0046578473
78,0.1773743,-0.0051159966,-0.025656341,-0.0040469822
79,0.1793743,-0.0032834008,-0.028099801,-0.0028252518
80,0.18137434,-0.0020616702,-0.026267206,-0.0058795782
81,0.18337437,-0.0057268618,-0.029932396,-0.00099265599
82,0.1853744,-0.0045051314,-0.028099801,-0.0040469822
83,0.18737444,-0.0051159966,-0.030543262,-0.0040469822
84,0.1893736,-0.0057268618,-0.029932396,-0.0046578473
85,0.19137277,-0.0069485921,-0.028099801,-0.003436117
86,0.19337194,-0.0075594573,-0.025656341,-0.0052687125
87,0.19537107,-0.0081703225,-0.027488936,-0.0058795782
88,0.19737017,-0.0075594573,-0.028710667,-0.0052687125
89,0.19937013,-0.0051159966,-0.023823744,-0.0058795782
90,0.2013701,-0.0081703225,-0.020158553,-0.003436117
91,0.20337007,-0.006337727,-0.019547688,-0.0052687125
