,mag_time,magX,magY,magZ
0,0.066779579,14.58,40.379997,-10.74
1,0.076778579,14.759999,40.559998,-10.32
2,0.086778579,15.48,40.860001,-10.679999
3,0.096778579,15.0,40.799999,-11.099999
4,0.10677891,14.759999,40.559998,-11.52
5,0.11677916,14.52,40.259998,-11.639999
6,0.12677916,14.099999,40.32,-11.7
7,0.13677933,14.58,39.959999,-11.58
8,0.14677947,14.52,40.379997,-11.34
9,0.15677947,14.04,40.439999,-11.759999
10,0.16677947,13.86,40.32,-11.46
11,0.17677947,14.16,40.559998,-11.58
12,0.18677956,14.46,40.5,-12.059999
13,0.19677739,14.94,40.860001,-12.12
14,0.20677739,14.759999,40.919998,-12.0
15,0.21677746,15.0,40.739998,-12.059999
16,0.22677753,15.179999,40.860001,-11.94
17,0.23677753,14.4,40.919998,-11.88
18,0.24677753,13.86,40.139999,-12.719999
19,0.25677753,13.08,40.559998,-12.9
20,0.26677758,12.9,40.200001,-12.599999
21,0.27677758,13.38,40.079998,-12.36
22,0.28677758,14.219999,40.739998,-11.4
23,0.29677722,14.219999,40.259998,-11.28
24,0.30677722,14.099999,40.079998,-11.219999
25,0.31677722,14.099999,40.200001,-11.219999
26,0.32677722,13.98,40.259998,-11.639999
27,0.33677726,13.98,40.5,-11.52
28,0.34677729,13.92,40.739998,-11.759999
29,0.35677729,13.679999,40.559998,-12.059999
30,0.36677729,13.5,40.68,-12.0
31,0.37677733,14.04,40.68,-12.179999
32,0.38677733,14.28,40.619999,-11.88
33,0.39677646,14.82,40.5,-11.34
34,0.40677686,15.299999,40.619999,-11.58
35,0.41677686,15.42,40.799999,-11.46
36,0.42677689,15.78,41.040001,-11.34
37,0.43677686,15.179999,40.799999,-11.52
38,0.44677686,15.12,40.799999,-10.86
39,0.45677689,14.7,40.68,-10.86
40,0.46677689,14.639999,40.799999,-11.04
41,0.47677689,15.0,40.919998,-10.62
42,0.48677686,14.82,40.799999,-10.8
43,0.49677776,14.52,40.739998,-10.2
44,0.50677779,14.28,40.200001,-10.02
45,0.51677776,14.34,40.259998,-10.679999
46,0.52677776,14.16,40.139999,-10.38
47,0.53677779,14.219999,40.02,-10.74
48,0.54677779,13.86,39.959999,-10.5
49,0.55677779,13.08,40.139999,-9.8400002
50,0.56677739,13.259999,40.200001,-10.92
51,0.57677742,13.5,40.739998,-11.16
52,0.58677742,13.5,41.16,-11.4
53,0.59677682,14.52,40.68,-11.28
54,0.60677686,14.52,40.559998,-10.92
55,0.61677689,14.759999,40.379997,-10.44
56,0.62677689,15.179999,40.5,-10.679999
57,0.63677685,14.759999,40.739998,-11.46
58,0.64677682,15.179999,41.040001,-11.28
59,0.65677685,15.179999,40.98,-11.82
60,0.66677685,15.179999,40.860001,-12.12
61,0.67677682,15.599999,41.279999,-11.52
62,0.68677685,15.66,41.219997,-11.099999
63,0.69677772,15.54,41.219997,-11.04
64,0.70677728,15.059999,40.919998,-10.74
65,0.71677635,14.639999,40.5,-10.8
66,0.72677632,14.28,40.5,-11.04
67,0.73677635,14.46,40.379997,-10.679999
68,0.74677632,14.759999,40.379997,-10.44
69,0.75677628,14.7,40.200001,-10.74
70,0.76677628,14.7,40.139999,-10.38
71,0.77677631,14.58,40.860001,-10.8
72,0.78677635,14.4,40.98,-11.04
73,0.79677545,14.46,41.52,-10.679999
74,0.80677545,14.58,41.16,-11.04
75,0.81677548,14.52,40.68,-10.92
76,0.83093338,14.82,40.619999,-11.099999
77,0.84093335,15.059999,40.739998,-11.94
78,0.85093335,15.299999,41.399998,-11.82
79,0.86093338,15.42,41.34,-11.88
80,0.87093378,15.299999,41.34,-11.7
81,0.88093375,15.12,40.919998,-11.16
82,0.89093378,14.46,40.559998,-11.34
83,0.90093468,14.099999,40.259998,-11.7
84,0.91093465,13.98,40.32,-11.34
85,0.92093461,13.559999,40.200001,-11.52
86,0.93093461,13.799999,40.5,-11.639999
87,0.94093465,13.86,40.860001,-11.28
88,0.95093465,13.92,41.16,-11.4
89,0.96093461,14.099999,41.099998,-11.16
90,0.97093465,14.16,40.379997,-10.98
91,0.98093468,14.4,40.619999,-10.559999
92,0.99093465,14.16,40.259998,-10.679999
93,1.0009337,14.04,40.5,-10.5
94,1.010934,14.34,40.619999,-10.26
95,1.0209349,14.58,40.439999,-10.559999
96,1.0309349,15.059999,40.619999,-10.32
97,1.040937,15.66,40.5,-10.679999
98,1.0509371,15.24,40.919998,-11.099999
99,1.0609371,14.94,40.619999,-11.04
100,1.0709371,14.7,40.32,-11.52
101,1.080937,14.46,40.259998,-11.4
102,1.090937,14.52,40.32,-10.62
103,1.1009379,14.82,40.559998,-10.679999
104,1.1109379,14.639999,40.379997,-10.2
105,1.1209376,14.759999,40.200001,-10.2
106,1.1309376,15.0,39.899998,-10.5
107,1.1409376,14.58,40.02,-10.559999
108,1.1509375,14.759999,40.259998,-11.099999
109,1.1609374,14.82,40.379997,-11.219999
110,1.1709374,14.759999,40.619999,-11.759999
111,1.180938,14.88,40.139999,-11.58
112,1.190938,15.0,40.32,-10.98
113,1.200937,14.82,40.5,-10.5
114,1.210937,13.98,39.959999,-10.44
115,1.2209371,13.799999,40.259998,-10.8
116,1.2309371,13.08,40.32,-11.219999
117,1.2409371,13.32,40.379997,-11.7
118,1.2509371,14.34,40.860001,-11.58
119,1.2609371,14.52,40.739998,-11.46
