,acc_time,accX,accY,accZ,label
0,0.0,-2.0709844,-9.6345673,0.35434186,Treppe3
1,0.0,-2.066196,-9.6561146,0.33518824,Treppe3
2,0.0,-2.0614076,-9.660903,0.33518824,Treppe3
3,0.0,-2.0566192,-9.6465378,0.34955344,Treppe3
4,0.0,-2.0470424,-9.6465378,0.34715924,Treppe3
5,0.0,-2.0374656,-9.6656914,0.33279404,Treppe3
6,0.0,-2.0590134,-9.6513262,0.33518824,Treppe3
7,0.0,-2.0446482,-9.660903,0.33997664,Treppe3
8,0.0,-2.042254,-9.6537209,0.33997664,Treppe3
9,0.0,-2.0470424,-9.6537209,0.33997664,Treppe3
10,0.0,-2.0207062,-9.660903,0.33518824,Treppe3
11,0.0,-2.030283,-9.660903,0.33279404,Treppe3
12,0.0,-2.0231004,-9.6585093,0.33039984,Treppe3
13,0.0,-2.0087352,-9.6656914,0.32321724,Treppe3
14,0.0,-2.0087352,-9.6489325,0.33518824,Treppe3
15,0.0,-2.0159178,-9.6632977,0.33518824,Treppe3
16,0.0,-2.006341,-9.6632977,0.35194764,Treppe3
17,0.0,-2.0015526,-9.6704798,0.35673606,Treppe3
18,0.0,-2.0039468,-9.684845,0.35913026,Treppe3
19,0.0,-2.0326772,-9.6728745,0.35913026,Treppe3
20,0.0,-2.0278888,-9.6680861,0.36870706,Treppe3
21,0.0,-2.0278888,-9.6776628,0.37110126,Treppe3
22,0.0,-2.0350714,-9.6800566,0.35673606,Treppe3
23,0.0,-2.042254,-9.692028,0.35913026,Treppe3
24,0.0,-2.0374656,-9.708787,0.35913026,Treppe3
25,0.0,-2.0518308,-9.708787,0.35913026,Treppe3
26,0.0,-2.054225,-9.7111816,0.34955344,Treppe3
27,0.0,-2.0470424,-9.7111816,0.34955344,Treppe3
28,0.0,-2.0614076,-9.7016048,0.35673606,Treppe3
29,0.0,-2.0685902,-9.7135754,0.33997664,Treppe3
30,0.0,-2.0685902,-9.7207584,0.33279404,Treppe3
31,0.0,-2.0853498,-9.7111816,0.33758244,Treppe3
32,0.0,-2.087744,-9.7016048,0.33518824,Treppe3
33,0.0,-2.0901382,-9.6992102,0.33039984,Treppe3
34,0.0,-2.078167,-9.7063932,0.32800564,Treppe3
35,0.0,-2.0757728,-9.6872396,0.33518824,Treppe3
36,0.0,-2.0829554,-9.6680861,0.30885202,Treppe3
37,0.0,-2.0829554,-9.6728745,0.31124622,Treppe3
38,0.0,-2.066196,-9.660903,0.31364042,Treppe3
39,0.0,-2.0638018,-9.6585093,0.32321724,Treppe3
40,0.0,-2.0805612,-9.6513262,0.33039984,Treppe3
41,0.0,-2.078167,-9.6489325,0.33758244,Treppe3
42,0.0,-2.066196,-9.6417494,0.33518824,Treppe3
43,0.0,-2.0638018,-9.6417494,0.33997664,Treppe3
44,0.0,-2.0590134,-9.6321726,0.33279404,Treppe3
45,0.0,-2.0566192,-9.6154137,0.33279404,Treppe3
46,0.0,-2.0494366,-9.6010485,0.33997664,Treppe3
