,acc_time,accX,accY,accZ,label
0,0.0,-0.64643449,-9.8620157,0.22505496,Treppe3
1,0.0,-0.64643449,-9.8787756,0.22505496,Treppe3
2,0.0,-0.64404029,-9.8859577,0.23463176,Treppe3
3,0.0,-0.65361708,-9.8811693,0.23942018,Treppe3
4,0.0,-0.66798228,-9.8907461,0.24899697,Treppe3
5,0.0,-0.65122288,-9.8763809,0.2633622,Treppe3
6,0.0,-0.66079968,-9.8763809,0.272939,Treppe3
7,0.0,-0.66798228,-9.8787756,0.2753332,Treppe3
8,0.0,-0.68234748,-9.8668041,0.2777274,Treppe3
9,0.0,-0.69431847,-9.859622,0.2753332,Treppe3
10,0.0,-0.71347213,-9.8548336,0.2753332,Treppe3
11,0.0,-0.74699092,-9.8213148,0.28969839,Treppe3
12,0.0,-0.75896192,-9.811738,0.28969839,Treppe3
13,0.0,-0.77572137,-9.787796,0.29448682,Treppe3
14,0.0,-0.77332717,-9.7710361,0.30166942,Treppe3
15,0.0,-0.78769237,-9.763854,0.31124622,Treppe3
16,0.0,-0.82121116,-9.7279406,0.32561144,Treppe3
17,0.0,-0.82121116,-9.7183638,0.32800564,Treppe3
18,0.0,-0.83318222,-9.7183638,0.33279404,Treppe3
19,0.0,-0.84515321,-9.7207584,0.34237084,Treppe3
20,0.0,-0.878672,-9.7542772,0.35913026,Treppe3
21,0.0,-0.90500826,-9.7590656,0.38546649,Treppe3
22,0.0,-0.91458505,-9.7614594,0.38786069,Treppe3
23,0.0,-0.93613285,-9.7854013,0.38307226,Treppe3
24,0.0,-0.94810385,-9.7901897,0.39264908,Treppe3
25,0.0,-0.9648633,-9.7925844,0.39264908,Treppe3
26,0.0,-0.9744401,-9.7901897,0.40222588,Treppe3
27,0.0,-0.98641109,-9.7997665,0.40462008,Treppe3
28,0.0,-0.99598789,-9.8069496,0.40462008,Treppe3
29,0.0,-1.0175357,-9.8261032,0.40462008,Treppe3
30,0.0,-1.0319009,-9.8261032,0.40462008,Treppe3
31,0.0,-1.0462662,-9.8237085,0.40222588,Treppe3
32,0.0,-1.0606314,-9.8572273,0.39264908,Treppe3
33,0.0,-1.0702082,-9.8548336,0.38786069,Treppe3
34,0.0,-1.091756,-9.8524389,0.38307226,Treppe3
35,0.0,-1.1013328,-9.8739872,0.37349546,Treppe3
36,0.0,-1.1133038,-9.8620157,0.37349546,Treppe3
37,0.0,-1.1204864,-9.859622,0.36631286,Treppe3
38,0.0,-1.1300632,-9.859622,0.35673606,Treppe3
39,0.0,-1.1420342,-9.8644104,0.34715924,Treppe3
40,0.0,-1.1803415,-9.8691988,0.32800564,Treppe3
41,0.0,-1.1827357,-9.8668041,0.31364042,Treppe3
42,0.0,-1.1851299,-9.8787756,0.31364042,Treppe3
43,0.0,-1.1994951,-9.8811693,0.33279404,Treppe3
44,0.0,-1.2162545,-9.8739872,0.33518824,Treppe3
45,0.0,-1.2234371,-9.8644104,0.33758244,Treppe3
46,0.0,-1.2306197,-9.8644104,0.33279404,Treppe3
47,0.0,-1.2521675,-9.8644104,0.33758244,Treppe3
48,0.0,-1.2641385,-9.8691988,0.33997664,Treppe3
