,gyr_time,gyrX,gyrY,gyrZ
0,0.018195274,-0.016646078,-0.031001411,0.010231993
1,0.020195274,-0.016646078,-0.031001411,0.010231993
2,0.022195274,-0.016646078,-0.031001411,0.010231993
3,0.024196607,-0.00870483,-0.012064588,-0.0056505036
4,0.026190357,-0.0080939643,-0.0059559359,-0.0068722339
5,0.028185357,-0.0068722339,-0.0059559359,-0.0062613687
6,0.03018119,-0.0032070426,-0.00045814895,-0.010537425
7,0.032177618,-0.0032070426,0.001985312,-0.014202617
8,0.034174493,-0.00076358154,0.0025961774,-0.016646078
9,0.036174604,0.00045814895,0.0056505036,-0.016646078
10,0.038174704,0.0022907446,0.0062613687,-0.02031127
11,0.040174794,0.0010690142,0.0093156947,-0.018478673
12,0.042174877,0.00290161,0.010537425,-0.022754731
13,0.044174953,0.0035124752,0.010537425,-0.026419923
14,0.046174524,0.0053450707,0.012370021,-0.027030786
15,0.04817459,0.0041233404,0.011148291,-0.027641652
16,0.050174652,0.0047342055,0.014813482,-0.029474247
17,0.052173122,0.0041233404,0.011759156,-0.030085113
18,0.054173177,0.0035124752,0.0099265603,-0.03191771
19,0.056173124,0.0047342055,0.0099265603,-0.032528576
20,0.058173074,0.0035124752,0.0038179078,-0.033750303
21,0.060173026,0.0053450707,0.00015271631,-0.033139441
22,0.06217298,0.0016798794,-0.0083993971,-0.034361169
23,0.064172936,0.0016798794,-0.012675454,-0.036193766
24,0.066171811,0.0016798794,-0.01817324,-0.037415497
25,0.068171771,0.00045814895,-0.027947085,-0.034972034
26,0.070171732,0.0016798794,-0.02977968,-0.034972034
27,0.072171657,0.00045814895,-0.038331795,-0.033750303
28,0.074171585,-0.0013744468,-0.047494773,-0.034972034
29,0.076171516,-0.00015271631,-0.051770829,-0.033750303
30,0.078171449,-0.00015271631,-0.062155537,-0.034972034
31,0.080171382,-0.00076358154,-0.059712078,-0.033139441
32,0.082171315,-0.00076358154,-0.072540246,-0.034361169
33,0.084171115,-0.00015271631,-0.074983709,-0.034361169
34,0.086171881,0.00045814895,-0.081703223,-0.03191771
35,0.088172647,-0.00076358154,-0.087201014,-0.034361169
36,0.090173413,-0.0032070426,-0.092087939,-0.032528576
37,0.092174179,-0.0013744468,-0.092087939,-0.030085113
38,0.094174945,-0.0032070426,-0.094531395,-0.031306844
39,0.096174845,-0.0038179078,-0.096974857,-0.031306844
40,0.098174745,-0.0056505036,-0.09514226,-0.03191771
41,0.10017464,-0.0068722339,-0.096363991,-0.028252518
42,0.10217454,-0.011148291,-0.09514226,-0.029474247
43,0.10417451,-0.010537425,-0.093920529,-0.029474247
44,0.10617381,-0.011148291,-0.090255342,-0.026419923
45,0.10817291,-0.012980887,-0.084757552,-0.025809057
46,0.11017288,-0.014202617,-0.082924955,-0.025809057
