,mag_time,magX,magY,magZ
0,0.079708894,-7.7399998,24.299999,42.959999
1,0.0821503,-7.7399998,24.299999,42.959999
2,0.085568269,-9.7199993,28.439999,33.059998
3,0.093563874,-11.46,32.219997,22.68
4,0.10159,-13.139999,35.939999,12.36
5,0.1095856,-14.759999,40.079998,1.74
6,0.11748966,-14.28,40.079998,1.26
7,0.12548526,-13.86,40.619999,1.4399999
8,0.13348087,-13.44,40.919998,1.1999999
9,0.14153751,-12.78,41.099998,1.0799999
10,0.14953311,-12.3,41.700001,0.65999997
11,0.15752872,-11.639999,41.700001,0.059999999
12,0.16552432,-10.74,42.18,-0.59999996
13,0.17351993,-10.32,42.719997,-0.89999998
14,0.18151553,-9.8999996,42.779999,-1.14
15,0.1894501,-9.7799997,43.379997,-1.14
16,0.19741519,-9.8999996,43.68,-0.83999997
17,0.2054108,-10.02,43.559998,-0.53999996
18,0.21343692,-9.8400002,43.439999,-0.83999997
19,0.22146304,-9.7199993,43.200001,-1.4399999
20,0.22942813,-9.3000002,42.899998,-1.86
21,0.23739322,-8.5799999,42.779999,-2.22
22,0.24535831,-8.8800001,42.599998,-2.46
23,0.25335391,-9.1199999,42.48,-2.76
24,0.26138004,-9.54,42.540001,-3.0
25,0.26934512,-9.7799997,42.299999,-3.5999999
26,0.27737125,-9.3000002,42.18,-3.6599998
27,0.28533634,-8.6999998,42.119999,-4.02
28,0.29330142,-8.2799997,42.84,-4.5599999
29,0.30129703,-7.5599999,43.200001,-4.9200001
30,0.3092316,-7.2599998,43.68,-5.6999998
31,0.31725772,-7.0799999,44.040001,-6.2399998
32,0.32525333,-6.1199999,43.860001,-6.7799997
33,0.33321842,-6.2399998,43.860001,-7.4400001
34,0.34124454,-5.9400001,43.860001,-7.6799998
35,0.34917911,-5.4000001,43.860001,-7.7999997
36,0.35720523,-5.46,43.68,-7.6799998
37,0.36517032,-4.98,43.98,-7.7399998
38,0.37310489,-4.1999998,44.099998,-7.9199996
39,0.3811005,-3.5999999,43.98,-8.0999994
40,0.3890961,-2.9399998,43.919998,-8.5199995
41,0.39706119,-2.22,43.98,-8.8199997
