,mag_time,magX,magY,magZ
0,0.19974081,-21.24,-7.5,-43.799999
1,0.20974081,-21.24,-7.6799998,-44.040001
2,0.21971381,-21.539999,-7.98,-44.759998
3,0.22971331,-22.139999,-7.9199996,-44.759998
4,0.23971298,-21.959999,-7.4400001,-44.879997
5,0.24971298,-21.66,-7.2599998,-44.219997
6,0.25971278,-21.18,-7.3199997,-43.559998
7,0.26971261,-20.939999,-7.5,-43.799999
8,0.27971261,-20.939999,-7.7399998,-43.860001
9,0.28971249,-20.699999,-7.7999997,-44.099998
10,0.29971237,-20.639999,-7.7399998,-43.919998
11,0.30971227,-19.92,-7.0799999,-44.099998
12,0.31971218,-19.68,-6.8999996,-43.98
13,0.32971218,-19.619999,-6.4200001,-44.34
14,0.33971211,-19.98,-6.1799998,-44.82
15,0.34971203,-20.52,-6.48,-44.34
16,0.35971197,-20.699999,-6.4200001,-44.579998
17,0.36971197,-20.879999,-6.5999999,-44.700001
18,0.37971197,-19.68,-6.6599998,-44.219997
19,0.38971191,-19.02,-6.54,-44.099998
20,0.39971191,-18.42,-6.7199998,-44.040001
21,0.40971191,-18.0,-6.7199998,-43.559998
22,0.41971062,-18.9,-6.96,-43.439999
23,0.42971058,-18.959999,-6.96,-43.5
24,0.43971054,-18.84,-6.7199998,-43.259998
25,0.44971054,-18.959999,-6.3599997,-43.439999
26,0.45971054,-18.66,-5.8199997,-44.099998
27,0.4697105,-18.9,-5.9400001,-44.459999
28,0.4797105,-19.26,-5.9400001,-44.879997
29,0.4897105,-19.26,-5.5799999,-44.579998
30,0.49971046,-19.74,-6.0,-44.34
31,0.50971043,-19.68,-5.8199997,-43.98
32,0.51971129,-19.92,-5.3399997,-43.739998
33,0.52971133,-20.16,-5.7599998,-44.219997
34,0.53971133,-19.98,-5.1599998,-44.459999
35,0.54971129,-20.039999,-5.2799997,-44.52
36,0.55971132,-19.859999,-6.0599999,-45.0
37,0.56971136,-20.16,-6.2399998,-44.939999
38,0.57971132,-19.74,-5.8199997,-44.700001
39,0.58971132,-19.859999,-5.2799997,-44.879997
40,0.59971132,-19.98,-4.7999997,-44.279999
41,0.60971136,-19.32,-4.5599999,-44.16
42,0.61971049,-19.92,-4.9200001,-44.16
43,0.62971046,-19.619999,-5.2199998,-44.279999
44,0.63971046,-19.559999,-5.04,-44.759998
45,0.64971049,-20.879999,-5.04,-44.52
46,0.65971052,-20.639999,-4.7399998,-44.219997
47,0.66971049,-21.119999,-4.6799998,-43.68
48,0.67971045,-20.939999,-4.9200001,-43.139999
49,0.68971049,-19.92,-4.7999997,-43.860001
50,0.69971045,-19.619999,-5.04,-44.459999
51,0.70971042,-19.199999,-4.8599997,-45.119999
52,0.71971128,-18.6,-4.8599997,-45.239998
53,0.72971132,-18.48,-4.6799998,-44.700001
54,0.73971102,-18.359999,-4.5599999,-44.759998
55,0.74971098,-17.82,-4.6199999,-44.759998
56,0.75971098,-18.119999,-4.5599999,-44.939999
57,0.76971102,-18.0,-4.6199999,-44.879997
58,0.77971098,-18.24,-4.6799998,-44.099998
59,0.78971095,-18.66,-4.9200001,-43.919998
60,0.79971095,-18.539999,-4.5,-44.399998
61,0.80971098,-18.119999,-4.3800001,-44.639999
62,0.81971015,-17.699999,-4.5599999,-45.18
63,0.82971011,-17.219999,-4.0799999,-45.299999
64,0.83971015,-17.4,-4.1999998,-45.0
65,0.84971018,-17.879999,-3.8399999,-45.539997
66,0.85971015,-17.879999,-3.5999999,-45.599998
67,0.86971011,-18.059999,-3.78,-45.48
68,0.87971011,-17.82,-3.78,-45.299999
69,0.88971014,-17.52,-4.2599998,-45.360001
70,0.89971014,-17.4,-4.2599998,-45.239998
71,0.90971011,-17.58,-4.02,-45.360001
72,0.91971191,-17.639999,-4.0799999,-45.539997
73,0.92971194,-17.82,-4.02,-45.18
74,0.93971194,-17.879999,-4.7399998,-45.419998
75,0.94971154,-17.639999,-5.2799997,-45.360001
76,0.95971151,-18.119999,-5.8199997,-45.360001
77,0.96971154,-18.299999,-6.3599997,-44.759998
78,0.97971154,-18.0,-6.2999997,-44.459999
79,0.98971151,-17.879999,-6.5999999,-44.759998
80,0.99971154,-17.279999,-7.0799999,-44.279999
81,1.0097115,-16.559999,-7.3199997,-44.52
82,1.0197107,-17.039999,-7.7399998,-44.759998
83,1.0297106,-17.279999,-8.0999994,-43.98
84,1.039711,-18.18,-8.3999996,-44.700001
85,1.049711,-18.539999,-8.5799999,-44.939999
86,1.0625767,-18.42,-8.8800001,-44.700001
87,1.0725767,-18.119999,-9.1799994,-45.119999
88,1.0825767,-17.52,-9.4200001,-44.52
89,1.0925767,-17.34,-9.96,-44.399998
90,1.1025767,-17.34,-10.38,-44.399998
91,1.1125767,-16.859999,-10.5,-43.68
92,1.1225775,-16.379999,-10.38,-43.739998
93,1.1325776,-15.66,-10.8,-43.68
94,1.1425775,-15.54,-11.16,-43.799999
95,1.1525775,-15.24,-11.58,-43.860001
96,1.1625776,-14.88,-12.179999,-43.799999
97,1.1725776,-15.54,-12.48,-43.739998
98,1.182578,-15.299999,-12.96,-43.200001
99,1.192578,-15.42,-13.5,-43.739998
100,1.202578,-15.54,-14.099999,-43.200001
101,1.212578,-14.88,-14.639999,-43.079998
102,1.2225763,-14.46,-15.059999,-43.259998
103,1.2325763,-14.639999,-15.719999,-42.779999
104,1.2425763,-14.52,-15.96,-42.84
105,1.2525767,-14.16,-16.26,-42.779999
106,1.2625767,-14.34,-16.619999,-42.719997
107,1.2725767,-13.62,-16.559999,-42.719997
