,acc_time,accX,accY,accZ,label
0,0.26582412,1.7860745,-3.6128504,9.2060051,C321
1,0.26782412,1.8315643,-3.6128504,9.1676979,C321
2,0.26982412,1.8483237,-3.608062,9.1413612,C321
3,0.27182412,1.8602947,-3.5817258,9.0695353,C321
4,0.27382412,1.8674773,-3.5434184,8.9570074,C321
5,0.27582387,1.8890251,-3.5314474,8.9019413,C321
6,0.27782367,1.9249382,-3.550601,8.7894135,C321
7,0.27981917,1.946486,-3.5482068,8.6912518,C321
8,0.28181531,1.958457,-3.5434184,8.6529446,C321
9,0.28381193,1.9776106,-3.5338416,8.5835123,C321
10,0.28580893,1.9440918,-3.502717,8.5356283,C321
11,0.28780883,1.8866309,-3.490746,8.5332346,C321
12,0.28980874,1.8650831,-3.4931402,8.5404167,C321
13,0.29180866,1.8171991,-3.4883518,8.5787239,C321
14,0.29380858,1.7860745,-3.5003228,8.6026659,C321
15,0.29580851,1.7525556,-3.5673606,8.6385794,C321
16,0.29780844,1.7525556,-3.632004,8.6673098,C321
17,0.29980838,1.7477672,-3.667917,8.6673098,C321
18,0.30180832,1.7788919,-3.7445314,8.6673098,C321
19,0.30380826,1.8028339,-3.8402996,8.6505499,C321
20,0.30580768,1.7980455,-3.892972,8.6433678,C321
21,0.30780768,1.8028339,-4.0102878,8.6457615,C321
22,0.30980768,1.8435353,-4.2042184,8.6768866,C321
23,0.31180768,1.8770541,-4.3167458,8.6888571,C321
24,0.31380768,1.9249382,-4.5202527,8.7295589,C321
25,0.31580768,1.8962077,-4.6327801,8.7846251,C321
26,0.31780768,1.8387469,-4.6447511,8.8396921,C321
27,0.31980665,1.8195933,-4.6184149,8.8444805,C321
28,0.32180565,1.8148049,-4.5777135,8.8205385,C321
29,0.32380468,1.7621324,-4.4532151,8.7894135,C321
30,0.32580375,1.6903064,-4.331111,8.7678661,C321
31,0.32780372,1.6400281,-4.19943,8.7439241,C321
32,0.32980368,1.6160861,-4.1323919,8.7630777,C321
33,0.33180365,1.5801731,-4.0102878,8.8157501,C321
34,0.33380361,1.5514427,-3.9360676,8.880393,C321
35,0.33580361,1.496376,-3.9073372,8.9139118,C321
36,0.33780365,1.496376,-3.8905778,8.9641905,C321
37,0.33980455,1.5059528,-3.8738184,9.0288343,C321
38,0.34180545,1.5298948,-3.892972,9.0575647,C321
39,0.34380635,1.5801731,-3.9097314,9.0910835,C321
40,0.34580725,1.5897499,-3.9552212,9.1078424,C321
41,0.34780728,1.6807296,-3.98874,9.1198139,C321
42,0.34980731,1.7118542,-4.0078936,9.1246023,C321
43,0.35180735,1.7429788,-4.024653,9.1222076,C321
44,0.35380734,1.8004397,-4.0390182,9.1389675,C321
45,0.35580734,1.8914193,-4.0629601,9.1222076,C321
46,0.35780734,1.9776106,-4.0581717,9.103054,C321
47,0.35980648,1.9919758,-4.048595,9.1006603,C321
48,0.36180561,2.0254946,-4.0078936,9.1078424,C321
49,0.36380474,2.0278888,-3.9719806,9.1222076,C321
50,0.36580421,1.9728222,-3.9145198,9.1413612,C321
51,0.36780331,1.9273324,-3.8881836,9.1533327,C321
52,0.36980328,1.9057846,-3.857059,9.1533327,C321
53,0.37180324,1.8483237,-3.8259344,9.1485443,C321
54,0.37380321,1.7884687,-3.8067808,9.1485443,C321
55,0.37580317,1.7645266,-3.7852328,9.1557264,C321
56,0.37780314,1.7070658,-3.7684734,9.1581211,C321
57,0.37980384,1.6998832,-3.7612908,9.1533327,C321
58,0.38180471,1.6783354,-3.7565024,9.1605148,C321
59,0.38380561,1.6472107,-3.7588966,9.1605148,C321
60,0.38580651,1.6663644,-3.7493198,9.1246023,C321
61,0.38780654,1.6879122,-3.763685,9.0910835,C321
62,0.38980657,1.7070658,-3.7660792,9.0695353,C321
63,0.39180661,1.769315,-3.7565024,9.0288343,C321
64,0.39380664,1.8052281,-3.763685,9.0048914,C321
65,0.39580577,1.8866309,-3.7541082,8.9426422,C321
66,0.3978055,1.9393034,-3.7588966,8.9067297,C321
67,0.3998046,1.9560628,-3.7660792,8.8899698,C321
68,0.40180457,1.9991584,-3.7660792,8.8444805,C321
69,0.40380454,2.0231004,-3.763685,8.8133554,C321
70,0.4058045,2.0159178,-3.7684734,8.7965965,C321
71,0.40780447,2.0015526,-3.7948096,8.7726545,C321
72,0.40980413,2.0087352,-3.7900212,8.7367411,C321
73,0.4118041,2.0015526,-3.7852328,8.7151937,C321
74,0.4138041,1.9847932,-3.787627,8.6744919,C321
75,0.41580413,1.9512744,-3.7852328,8.6361847,C321
76,0.41780417,1.9321208,-3.7924154,8.6026659,C321
77,0.4198055,1.9297266,-3.8067808,8.5835123,C321
78,0.421806,1.9369092,-3.809175,8.5404167,C321
79,0.4238069,1.9249382,-3.8163576,8.5188684,C321
80,0.4258078,1.8986019,-3.8307228,8.4925327,C321
81,0.4278087,1.8962077,-3.809175,8.4829559,C321
82,0.42980873,1.8986019,-3.8115692,8.4733791,C321
83,0.43180873,1.9129672,-3.8187518,8.4446487,C321
84,0.43380873,1.9153614,-3.7972038,8.4350719,C321
85,0.43580873,1.922544,-3.7852328,8.4302835,C321
86,0.43780873,1.9416976,-3.7612908,8.4470425,C321
87,0.43980803,1.9416976,-3.7732618,8.4470425,C321
88,0.44180716,1.9177556,-3.7780502,8.4733791,C321
89,0.44380713,1.9057846,-3.7804444,8.5068979,C321
90,0.4458071,1.8770541,-3.7852328,8.538023,C321
91,0.44780706,1.8746599,-3.7828386,8.585907,C321
92,0.44980703,1.8674773,-3.7828386,8.6146374,C321
93,0.451807,1.8962077,-3.7828386,8.6553383,C321
94,0.45380663,1.9153614,-3.7804444,8.6697035,C321
95,0.45580749,1.946486,-3.7852328,8.7032223,C321
96,0.45780773,1.9656396,-3.7948096,8.7463179,C321
97,0.45980859,1.9680338,-3.8043866,8.7798367,C321
98,0.46180863,1.982399,-3.8019924,8.8492689,C321
99,0.46380866,1.9752164,-3.8043866,8.8971529,C321
100,0.46580869,1.9632454,-3.8043866,8.928277,C321
101,0.46780873,1.9728222,-3.809175,8.9857378,C321
102,0.46980906,1.9656396,-3.8259344,9.0360165,C321
103,0.47180909,1.9416976,-3.8283286,9.0551701,C321
104,0.47380912,1.8818425,-3.8139634,9.0910835,C321
105,0.47580912,1.8650831,-3.8139634,9.1078424,C321
106,0.47780909,1.8148049,-3.809175,9.0982656,C321
107,0.47980776,1.8004397,-3.7972038,9.0934772,C321
108,0.48180726,1.7956513,-3.7948096,9.0862951,C321
