,gyr_time,gyrX,gyrY,gyrZ
0,0.024845082,0.029856039,0.027947085,-0.070325859
1,0.026845082,0.029856039,0.027947085,-0.070325859
2,0.028845082,0.029856039,0.027947085,-0.070325859
3,0.030843082,0.029856039,0.027947085,-0.070325859
4,0.032843082,-0.15829046,0.21059579,-0.028787024
5,0.034843082,-0.17600554,0.24113905,-0.021456642
6,0.036843082,-0.19677497,0.26618454,-0.012904529
7,0.038838582,-0.20349449,0.27962357,-0.010461068
8,0.040834582,-0.21998784,0.30405816,-0.0012980887
9,0.042834457,-0.22670737,0.31749722,0.0023671028
10,0.044834345,-0.23403774,0.34254268,0.0060322941
11,0.046834245,-0.23892467,0.35964692,0.007254025
12,0.048834154,-0.23892467,0.3669773,0.007254025
13,0.05083407,-0.23892467,0.38224894,0.0048105638
14,0.052833993,-0.23159428,0.39202276,-0.00068722339
15,0.054833993,-0.22915083,0.39385536,-0.0037415496
16,0.056833993,-0.21449006,0.39629883,-0.01779145
17,0.058833993,-0.20715968,0.3932445,-0.023900103
18,0.060833993,-0.20166188,0.39019018,-0.030008756
19,0.062833993,-0.18700112,0.37736201,-0.043447789
20,0.064835519,-0.1698969,0.3633121,-0.055054229
21,0.066835519,-0.15340354,0.345597,-0.067271538
22,0.068835519,-0.14546229,0.33399057,-0.070325859
23,0.070835473,-0.1259146,0.31016684,-0.082543164
24,0.072835429,-0.11430816,0.29978213,-0.088651821
25,0.074835387,-0.09476047,0.27229318,-0.097203933
26,0.076835347,-0.073991053,0.24602598,-0.10514518
27,0.078834308,-0.062384613,0.23380867,-0.10881037
28,0.080833308,-0.038560867,0.20754147,-0.11491902
29,0.082832343,-0.020234911,0.18555032,-0.12102768
30,0.084831411,-0.011071933,0.17211129,-0.12530373
31,0.086831377,0.0048105638,0.15012014,-0.12896892
32,0.088830943,0.017638734,0.12690726,-0.13324498
33,0.090831043,0.021914791,0.11957687,-0.13385585
34,0.092831009,0.029856039,0.1067487,-0.13446671
35,0.094830575,0.029245174,0.10247265,-0.13568844
36,0.096830541,0.024969118,0.10369437,-0.13446671
37,0.098831407,0.020082194,0.10735957,-0.13385585
38,0.10083231,0.0048105638,0.11530081,-0.1295798
39,0.10283234,-0.004352415,0.11652254,-0.1295798
40,0.10483237,-0.026954429,0.12568553,-0.12224941
41,0.10683241,-0.051999904,0.13057245,-0.11430816
42,0.10883244,-0.06421721,0.13057245,-0.1118647
43,0.11083247,-0.092317007,0.13729197,-0.10392345
44,0.11283187,-0.11614075,0.14095716,-0.095371336
45,0.11483187,-0.12835807,0.14645495,-0.091706142
46,0.11683184,-0.15096007,0.150731,-0.080099702
47,0.11883094,-0.16867517,0.15683965,-0.070936725
48,0.12083004,-0.18150334,0.16111571,-0.066049807
49,0.12282914,-0.19433151,0.16966783,-0.054443367
50,0.12482727,-0.20166188,0.17211129,-0.050778173
51,0.12682724,-0.21632266,0.182496,-0.03733914
52,0.1288265,-0.22120957,0.18982637,-0.033673946
53,0.1308265,-0.22487476,0.1965459,-0.026954429
54,0.13282654,-0.22976169,0.20021108,-0.023900103
55,0.13482657,-0.23098342,0.20387627,-0.018402316
56,0.1368266,-0.23342688,0.20570888,-0.017180584
57,0.1388275,-0.23403774,0.20815234,-0.016569721
58,0.1408284,-0.23220515,0.20570888,-0.018402316
59,0.1428293,-0.22853996,0.20082195,-0.016569721
60,0.1448302,-0.22853996,0.19715676,-0.01779145
61,0.14683024,-0.22182044,0.18982637,-0.020845776
62,0.14883064,-0.21571179,0.18188512,-0.023289237
63,0.15083064,-0.21326832,0.17944166,-0.024510968
64,0.15283064,-0.20899227,0.1769982,-0.028787024
65,0.15483104,-0.20715968,0.17638734,-0.031841353
66,0.15683104,-0.2083814,0.18921551,-0.038560867
67,0.15883017,-0.20899227,0.19410244,-0.040393464
68,0.16082927,-0.21265747,0.20021108,-0.04100433
69,0.16282837,-0.21815525,0.21181752,-0.046502117
70,0.16482747,-0.22120957,0.22220223,-0.050167307
71,0.16682657,-0.2224313,0.22953261,-0.053832501
72,0.16882563,-0.22670737,0.23136522,-0.050778173
73,0.1708256,-0.23098342,0.23441954,-0.053221636
74,0.1728262,-0.23098342,0.23564127,-0.051999904
75,0.17482617,-0.23220515,0.23564127,-0.051999904
76,0.17682617,-0.23525947,0.23258694,-0.051389039
77,0.17882703,-0.23464862,0.23258694,-0.051999904
78,0.18082793,-0.23587035,0.22708915,-0.050778173
79,0.18282883,-0.23892467,0.22647829,-0.050167307
80,0.18482973,-0.23831381,0.22403483,-0.050167307
81,0.18682976,-0.24564418,0.2228131,-0.04466952
82,0.1888305,-0.24442245,0.2209805,-0.04100433
83,0.19083053,-0.24747679,0.21914791,-0.037950002
84,0.19283053,-0.24686591,0.21609358,-0.028787024
85,0.19483053,-0.24258986,0.21242839,-0.017180584
86,0.1968305,-0.23709208,0.20937407,-0.0055741454
87,0.19882956,-0.22915083,0.20448714,-0.00068722339
88,0.20082866,-0.21876612,0.205098,0.0096974857
89,0.20282863,-0.20960313,0.20754147,0.016417004
