Label_Wechsel,accX,accY,accZ,label,Vorheriges_Label
1,0.2375890343180971,-2.8777400177545283,-2.6972071771813964,Treppe3,Treppe3
2,2.3643323037366595,-0.38932632277592094,-0.13590707463846466,C321/C317,Treppe3
3,2.051488269880169,-0.9301496839535024,-0.3627096126394667,C321,C321/C317
4,3.16739234701395,0.13068928153577844,0.2785741206822883,C321/C317,C321
5,2.757322408807808,0.038028919269421285,0.5224872913347396,C320/C316,C321/C317
6,2.9559985747083486,0.2266640785991838,0.6505259334704316,C319/C314,C320/C316
7,2.8728432365617715,-0.45998041213405316,0.17186032753595512,Treppe3T,C319/C314
8,0.09005776153315109,-2.9353429685176393,-2.796739288755557,Treppe3,Treppe3T
9,2.6186469669554486,0.2800995517859372,0.2578450603833944,C321/C317,Treppe3
10,2.8929591119939855,0.6023867393894904,0.9421645531151382,C320/C316,C321/C317
11,2.9390132062456322,-0.11070635843687043,0.09947629591757501,C316,C320/C316
12,3.0165963091964483,0.12623954474132718,0.5977320591139288,C320/C316,C316
13,3.0233085847221015,0.42758401951989183,0.8447697445875973,C319/C314,C320/C316
14,3.060076782146197,0.5938624230964789,1.0116590704311226,Treppe3T,C319/C314
15,2.665914453205183,-0.1509938183034568,0.2690600742087117,C319/C314,Treppe3T
16,3.0711066468948833,0.7768561260253218,1.0236747991032689,C320/C316,C319/C314
17,3.473288010658414,0.8756576910536169,1.1864391181666913,C321/C317,C320/C316
18,3.2333366230269416,0.4040576796316621,0.4599961102135438,C321,C321/C317
19,3.001712109887205,-0.2133873958642927,0.23303720312181522,C321/C317,C321
20,3.216681362054337,0.6168272755008992,0.7918245596600346,C320/C316,C321/C317
21,3.0855057663877217,0.48105849847076637,0.5648397647922685,C319/C314,C320/C316
22,3.413381671940377,1.0503979834372759,0.7698150232597709,Treppe3T,C319/C314
23,2.627137922472403,-0.01834661473698667,0.18227101674606677,C319/C314,Treppe3T
24,3.228670146777992,0.8592884995125374,0.7198466732672242,C320/C316,C319/C314
25,2.9559019616316045,-0.21005470930592235,0.24764654580392176,C316,C320/C316
26,2.7949284816890176,-0.19342882778160483,-0.0740981559003698,C320/C316,C316
27,2.43875504265871,-0.41354045035344844,-0.1737013061202786,C321/C317,C320/C316
28,3.288939313298162,0.5693632142629307,0.5794003229410485,Treppe3,C321/C317
29,2.691127353826252,-0.22286384094029676,0.09557874363537068,C321/C317,Treppe3
30,2.413257828546069,-1.099554536369291,-0.7821330232490584,C321,C321/C317
31,2.966982247368073,-0.14908749072165972,0.09440655487303955,C321/C317,C321
32,3.2141179380052836,0.10842792042055856,0.458186200166341,C320/C316,C321/C317
33,2.702192734845703,-0.5179749380107712,0.42132068452250343,C316,C320/C316
34,3.1198227564316148,-0.03029382772280304,0.2755683353063515,C320/C316,C316
35,3.122585655679432,0.6629012995018634,1.179063723554386,C319/C314,C320/C316
36,2.9955263253794784,0.04117916532383919,-0.020964735299229553,Treppe3T,C319/C314
37,2.8848885035213017,-0.8765631173120662,-0.7086628823698846,Erdgeschoss,Treppe3T
38,5.373533623283675,0.31710827469092184,0.6567688363164227,VorDamenWC0,Erdgeschoss
39,3.260892905957022,-1.0088080656490523,-0.018439322362024047,VorC013,VorDamenWC0
40,3.445638201201714,-0.9263709308611383,-0.4138470117335676,C011/C012/C022,VorC013
42,3.045348045411769,-0.8745991539397487,-0.49200275817643613,C011/C012/C022,C225a
44,0.1131243944669951,-2.9302202942693567,-2.8026744969129207,C011/C012/C022,C225a
46,0.15725576997382693,-2.9150220131773144,-2.7538789070073433,C011/C012/C022,C225a
48,0.13207048104344699,-2.9188913704122177,-2.7898286738533633,C011/C012/C022,C225a
50,3.141218048544913,-0.9807833025480206,-0.6577344655094168,VorC026,C225a
51,4.308611880169374,0.02308265805945933,0.35693588702714735,VorC042,VorC026
52,6.348896988068769,1.095493819288517,1.870648669047122,VorHerrenWC0,VorC042
53,5.192143304631138,0.7853752529378095,1.211764147498266,Stock1,VorHerrenWC0
54,4.68280924248612,0.1518651748216035,-0.045830427564482995,VorC133,Stock1
55,4.925930224695722,0.40100982380402295,-0.06970495638532515,VorHerrenWC1,VorC133
56,6.130079334945493,1.3749583247723465,1.7150052887482956,VorC109,VorHerrenWC1
57,5.387867576362481,0.801636526014702,0.9241776766233056,VorC124,VorC109
58,6.107467127335204,0.7304774914890735,1.3957640121884036,VorDamenWC1,VorC124
59,4.100618174495467,-0.2842658861631054,0.3977900620046833,Stock2,VorDamenWC1
60,4.306861661869463,0.1443189079159054,0.2106549448811125,VorC223,Stock2
61,5.1793245558861685,0.8825759602400578,1.2644866618415085,VorC225a,VorC223
62,3.155323554143961,-0.6488404782378553,0.11125882187516717,C011/C012/C022,VorC225a
64,4.114295981348719,0.2990696360725592,0.26379539670747043,VorC203,C225a
65,5.738063654729478,1.5522134053434027,1.2161349390090064,VorHerrenWC2,VorC203
66,4.784687359987626,0.6502092423642787,0.6216032140864312,VorC218,VorHerrenWC2
67,5.421169569440474,1.6879355607056217,1.115189911754585,Eingang,VorC218
68,6.140535911581373,1.385735022733685,1.4350725034916807,Erdgeschoss,Eingang
69,4.7414625326703375,-0.25134201357177866,0.29470543973076024,VorDamenWC0,Erdgeschoss
70,5.352505271220223,0.8695415065861489,0.7632623801885353,VorC013,VorDamenWC0
71,3.8655227385079947,-0.5515065409608161,0.41358279166057577,C011/C012/C022,VorC013
73,2.4433168644372008,-1.432319852820621,0.05622528121928955,C023/C023a,C225a
74,6.105232731693254,1.4741133891239278,1.228012544416179,VorC026,C023/C023a
