Label_Wechsel,accX,accY,accZ,label,Vorheriges_Label
1,0.2375890343180971,-3.337227343167878,-3.4868657009556863,Treppe3,Treppe3
2,2.3643323037366595,-0.3931995571294112,-0.42440408071697017,C321/C317,Treppe3
3,2.051488269880169,-1.033044533814128,-0.6955843564336692,C321,C321/C317
4,3.16739234701395,0.22202788329037365,0.07117734362305271,C321/C317,C321
5,2.757322408807808,0.11240194700533368,0.36281623554838804,C320/C316,C321/C317
6,2.9559985747083486,0.33557510812852404,0.5159077952054292,C319/C314,C320/C316
7,2.8728432365617715,-0.4767899997826269,-0.05641680106006175,Treppe3T,C319/C314
8,0.09005776153315109,-3.4053770595701836,-3.605872947070484,Treppe3,Treppe3T
9,2.6186469669554486,0.39879430602128757,0.04639229343469329,C321/C317,Treppe3
10,2.8929591119939855,0.7800904053409828,0.864610424293908,C320/C316,C321/C317
11,2.9390132062456322,-0.06356589596831425,-0.142963987986479,C316,C320/C316
12,3.0165963091964483,0.21676342553969613,0.452783909862991,C320/C316,C316
13,3.0233085847221015,0.5732823229832699,0.7481586805759565,C319/C314,C320/C316
14,3.060076782146197,0.7700053362569123,0.9477027147622988,Treppe3T,C319/C314
15,2.665914453205183,-0.11122975568564289,0.05980171366482626,C319/C314,Treppe3T
16,3.0711066468948833,0.9865041230863322,0.9620695231894395,C320/C316,C319/C314
17,3.473288010658414,1.1033956806815766,1.1566814235212808,C321/C317,C320/C316
18,3.2333366230269416,0.5454484469382624,0.2880976019930917,C321,C321/C317
19,3.001712109887205,-0.18504723482109117,0.01673036093856828,C321/C317,C321
20,3.216681362054337,0.797174919721798,0.684853878199959,C320/C316,C321/C317
21,3.0855057663877217,0.6365476683689603,0.4134556839898606,C319/C314,C320/C316
22,3.413381671940377,1.3101299054433484,0.6585378051876108,Treppe3T,C319/C314
23,2.627137922472403,0.04570438023718086,-0.043969085107313156,C319/C314,Treppe3T
24,3.228670146777992,1.0840293852664817,0.5987923056552049,C320/C316,C319/C314
25,2.9559019616316045,-0.18110435271519457,0.034198267653773935,C316,C320/C316
26,2.7949284816890176,-0.16143436887217638,-0.3505012056747449,C320/C316,C316
27,2.43875504265871,-0.42184715079391,-0.4695933903431868,C321/C317,C320/C316
28,3.288939313298162,0.7410204646146008,0.43086526065587544,Treppe3,C321/C317
29,2.691127353826252,-0.19625876193690833,-0.14762416203842788,C321/C317,Treppe3
30,2.413257828546069,-1.2334664305462608,-1.1970750237499441,C321,C321/C317
31,2.966982247368073,-0.10897439059846822,-0.14902570928107634,C321/C317,C321
32,3.2141179380052836,0.19569059628279392,0.2859335525518958,C320/C316,C321/C317
33,2.702192734845703,-0.545402986426977,0.24185467766430532,C316,C320/C316
34,3.1198227564316148,0.03156970196124196,0.06758342569701888,C320/C316,C316
35,3.122585655679432,0.8516848298493452,1.147862908692864,C319/C314,C320/C316
36,2.9955263253794784,0.11612898481089602,-0.28697133614425097,Treppe3T,C319/C314
