,mag_time,magX,magY,magZ
0,0.20195262,-18.66,-4.98,-40.68
1,0.21195162,-18.779999,-5.7599998,-40.379997
2,0.22195262,-19.08,-6.3599997,-40.32
3,0.23195312,-19.199999,-6.8999996,-40.379997
4,0.24195678,-19.559999,-6.54,-40.68
5,0.25196053,-19.379999,-6.7199998,-40.919998
6,0.26196353,-19.26,-6.5999999,-40.919998
7,0.2719662,-19.32,-6.48,-40.919998
8,0.28196834,-18.779999,-6.8999996,-40.98
9,0.29196709,-19.199999,-6.5999999,-41.219997
10,0.30196887,-19.26,-6.6599998,-41.16
11,0.31197037,-19.68,-6.8999996,-40.98
12,0.32197173,-19.92,-6.7799997,-40.98
13,0.33197298,-19.799999,-6.7799997,-40.5
14,0.34197414,-20.219999,-6.96,-39.959999
15,0.35197528,-20.16,-7.02,-39.899998
16,0.36197628,-20.76,-7.0799999,-39.66
17,0.37197721,-21.0,-7.3799996,-39.540001
18,0.3819781,-20.82,-7.1399999,-39.719997
19,0.39197898,-20.219999,-7.1399999,-39.540001
20,0.40197983,-19.859999,-7.02,-39.299999
21,0.41198058,-19.859999,-7.02,-39.419998
22,0.42198091,-20.16,-7.1399999,-39.299999
23,0.43198164,-21.119999,-7.0799999,-39.119999
24,0.44198229,-21.779999,-7.4400001,-38.82
25,0.45198291,-22.619999,-7.2599998,-38.279999
26,0.46198351,-22.68,-7.6199999,-37.860001
27,0.47198413,-22.799999,-7.4400001,-37.919998
28,0.48198431,-22.859999,-7.5,-38.16
29,0.49198392,-22.559999,-7.7399998,-38.16
30,0.50198378,-22.619999,-7.1999998,-38.700001
31,0.51198458,-22.5,-6.8999996,-39.0
32,0.52198505,-22.439999,-6.48,-39.0
33,0.53198551,-22.08,-6.2399998,-39.18
34,0.54198475,-22.26,-6.5999999,-38.879997
35,0.55198388,-22.5,-7.02,-38.82
36,0.56198298,-22.98,-7.4400001,-38.82
37,0.57198281,-23.34,-7.7399998,-38.16
38,0.58198235,-23.4,-7.6199999,-38.34
39,0.59198271,-23.34,-7.9199996,-37.619999
40,0.60198254,-22.799999,-8.04,-37.799999
41,0.61198205,-22.619999,-8.1599998,-38.399998
42,0.62198204,-22.68,-8.3400002,-38.040001
43,0.63198208,-23.639999,-8.1599998,-38.040001
44,0.64198208,-25.559999,-8.46,-38.219997
45,0.65198204,-27.599998,-8.3400002,-37.98
46,0.66198208,-29.519999,-8.3999996,-38.279999
47,0.67198208,-30.359999,-8.1599998,-38.939999
48,0.68198208,-30.24,-8.0999994,-38.16
49,0.69198118,-28.799999,-8.04,-37.919998
50,0.70198114,-26.58,-7.4400001,-38.219997
51,0.71198118,-24.66,-7.6199999,-37.799999
52,0.72198144,-23.1,-7.6199999,-38.399998
53,0.73198141,-22.199999,-6.8999996,-39.0
54,0.74198144,-22.26,-7.02,-38.879997
55,0.75198144,-22.199999,-6.5999999,-39.0
56,0.76198144,-21.719999,-5.6999998,-38.639999
57,0.77198141,-21.9,-5.9400001,-38.579998
58,0.78198087,-21.42,-5.7599998,-38.34
59,0.79198087,-20.82,-5.5799999,-37.919998
60,0.80198061,-20.279999,-5.6999998,-38.399998
61,0.81197941,-19.859999,-5.4000001,-38.34
62,0.82197851,-19.5,-5.2199998,-38.579998
63,0.83197764,-19.559999,-5.52,-38.82
64,0.84471762,-19.74,-5.46,-38.279999
65,0.85471758,-20.219999,-5.6399999,-38.040001
66,0.86471761,-20.82,-5.7599998,-38.040001
67,0.87471688,-21.119999,-5.1599998,-38.279999
68,0.88471645,-21.6,-5.0999999,-38.879997
69,0.89471601,-21.719999,-5.3399997,-38.879997
70,0.90471524,-21.779999,-5.4000001,-38.939999
71,0.91471488,-21.779999,-5.6399999,-39.059998
72,0.92471398,-22.02,-6.0599999,-38.639999
73,0.93471304,-22.439999,-6.0599999,-38.759998
74,0.94471218,-23.16,-5.8199997,-38.459999
75,0.95471131,-23.219999,-5.6999998,-38.52
76,0.96471038,-23.039999,-5.2799997,-38.52
77,0.97470948,-22.68,-4.5,-38.219997
78,0.98470858,-21.959999,-4.4400001,-38.279999
79,0.99470858,-21.48,-3.9599998,-37.799999
80,1.0047077,-21.48,-3.72,-38.040001
81,1.0147067,-21.42,-3.48,-38.459999
82,1.0247059,-21.24,-3.24,-38.639999
83,1.034705,-21.84,-3.3,-39.059998
84,1.044704,-21.48,-3.24,-38.82
85,1.0547031,-21.059999,-3.4199998,-38.700001
86,1.0647023,-21.18,-2.9399998,-38.52
87,1.0747014,-20.939999,-2.9399998,-38.34
88,1.0847014,-20.639999,-2.6399999,-38.639999
89,1.0947013,-21.119999,-2.46,-38.52
90,1.1047013,-21.059999,-2.7,-38.34
91,1.1147014,-20.58,-3.1799998,-38.219997
92,1.1247014,-20.4,-3.8999999,-38.399998
93,1.1347014,-19.68,-4.1999998,-38.279999
94,1.1447014,-18.959999,-4.3800001,-38.52
95,1.1547014,-18.719999,-4.1999998,-38.939999
96,1.1647014,-18.66,-4.0799999,-38.759998
97,1.1747013,-18.48,-4.5599999,-39.299999
98,1.1847013,-18.48,-5.0999999,-39.719997
99,1.1947014,-18.359999,-6.0599999,-39.419998
100,1.2047014,-18.24,-6.7799997,-39.84
101,1.2147014,-17.639999,-7.3799996,-39.719997
102,1.2247014,-17.219999,-8.0999994,-39.66
103,1.2347014,-16.74,-8.3400002,-40.200001
104,1.2447014,-15.54,-9.2399998,-39.599998
105,1.2547014,-14.94,-10.139999,-40.079998
106,1.2647014,-14.94,-11.7,-40.32
107,1.2747014,-14.52,-13.5,-39.959999
108,1.2847014,-14.639999,-14.639999,-40.259998
109,1.2947014,-15.299999,-16.02,-39.540001
110,1.3047014,-15.179999,-17.1,-39.360001
111,1.3147014,-15.9,-17.76,-38.879997
112,1.3247014,-16.98,-18.66,-38.279999
113,1.3347014,-18.0,-19.92,-37.799999
114,1.3447014,-19.02,-20.82,-36.540001
115,1.3547014,-19.619999,-22.02,-35.880001
116,1.3647014,-21.42,-23.459999,-35.219997
117,1.3747013,-22.199999,-24.359999,-34.68
118,1.3847022,-23.1,-25.32,-34.68
119,1.3947032,-23.939999,-26.039999,-35.040001
120,1.4047041,-22.98,-25.92,-34.98
121,1.414705,-21.539999,-25.379999,-35.219997
122,1.4247059,-20.699999,-25.08,-35.34
123,1.4347064,-19.799999,-24.959999,-34.799999
124,1.4447073,-18.66,-24.959999,-34.919998
125,1.4547082,-18.66,-25.32,-34.559998
126,1.4647091,-18.059999,-24.9,-34.559998
127,1.47471,-17.879999,-24.719999,-35.040001
128,1.4847109,-17.76,-24.539999,-35.52
129,1.4947109,-17.52,-24.48,-35.82
130,1.5047118,-17.82,-24.9,-36.360001
131,1.5147128,-17.58,-24.9,-36.48
132,1.5247136,-17.879999,-24.779999,-36.48
133,1.5347145,-18.299999,-24.6,-36.599998
134,1.5447154,-18.359999,-24.6,-35.82
135,1.5547163,-18.24,-24.119999,-35.16
